prices_per_night,ratings,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,log_num_reviews,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
115.0,0.0,0.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,0.0,1.0,5.0,2.0,2.0,6.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0
46.0,0.0,15.0,1.0,1.0,0.5,1.0,1020.0,660.0,7.0,0.0,1.0,6.0,1.0,0.0,10.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
47.0,4.66,0.0,1.0,1.0,0.5,1.0,900.0,720.0,9.0,4.189654742026425,1.0,3.0,1.0,2.0,11.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0
100.0,4.89,35.0,1.0,1.0,1.0,1.0,960.0,720.0,8.0,0.0,5.0,7.0,2.0,1.0,10.0,10.0,10.0,3.0,2.0,2.0,0.0,5.0,4.0,0.0,0.0
33.0,4.4,0.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,6.898714534329988,1.0,2.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0
35.0,4.63,0.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,3.713572066704308,0.0,3.0,2.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
31.0,0.0,45.0,1.0,1.0,0.5,1.0,900.0,720.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
18.0,4.75,0.0,1.0,1.0,0.5,1.0,840.0,600.0,10.0,1.6094379124341003,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
115.0,5.0,70.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1.6094379124341003,0.0,4.0,2.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0
45.0,0.0,0.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
31.0,4.46,0.0,1.0,1.0,0.5,1.0,840.0,660.0,10.0,7.931284761525891,4.0,4.0,2.0,1.0,11.0,10.0,5.0,3.0,3.0,6.0,0.0,4.0,5.0,1.0,0.0
125.0,0.0,0.0,1.0,4.333333333333333,1.0,2.0,900.0,660.0,9.0,0.0,0.0,6.0,2.0,0.0,14.0,7.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0
50.0,0.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,0.0,4.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
57.0,0.0,20.0,1.0,1.0,0.5,2.0,1020.0,660.0,7.0,0.0,1.0,6.0,2.0,0.0,10.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
52.0,5.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,1.3862943611198906,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
60.0,0.0,0.0,1.0,2.0,0.5,2.0,900.0,680.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
91.0,0.0,0.0,2.0,3.0,1.0,4.0,840.0,600.0,10.0,0.0,0.0,5.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
96.0,0.0,0.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1.0986122886681098,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
